GEOID,NAME,total_household14E,total_household14M,house_alone14E,house_alone14M,med_hh_inc14E,med_hh_inc14M
"24005441000","Census Tract 4410, Baltimore County, Maryland",1175,94,225,82,51659,4584
"24005452500","Census Tract 4525, Baltimore County, Maryland",1289,84,305,87,51994,7460
"24005490605","Census Tract 4906.05, Baltimore County, Maryland",100,35,20,15,7500,5681
"24510160600","Census Tract 1606, Baltimore city, Maryland",1096,124,545,128,25433,6299
"24510240100","Census Tract 2401, Baltimore city, Maryland",1393,107,526,128,90268,32578
"24510260605","Census Tract 2606.05, Baltimore city, Maryland",1850,124,716,119,34796,6790
"24510271503","Census Tract 2715.03, Baltimore city, Maryland",624,55,402,68,67500,10710
"24510100200","Census Tract 1002, Baltimore city, Maryland",1242,50,579,115,12653,4558
"24510150800","Census Tract 1508, Baltimore city, Maryland",1597,199,738,175,34076,5405
"24510170300","Census Tract 1703, Baltimore city, Maryland",752,84,321,82,24318,11110
"24510240400","Census Tract 2404, Baltimore city, Maryland",1268,86,372,103,87385,6670
"24510270902","Census Tract 2709.02, Baltimore city, Maryland",1362,79,244,75,62151,10188
"24510271002","Census Tract 2710.02, Baltimore city, Maryland",1484,100,499,122,39113,9496
"24510260402","Census Tract 2604.02, Baltimore city, Maryland",1115,89,404,118,48371,18662
"24510271200","Census Tract 2712, Baltimore city, Maryland",2366,87,790,140,130147,19296
"24510280404","Census Tract 2804.04, Baltimore city, Maryland",823,76,280,74,37014,5426
"24510090100","Census Tract 901, Baltimore city, Maryland",1786,129,690,141,36551,5113
"24510200300","Census Tract 2003, Baltimore city, Maryland",547,85,154,56,22599,2886
"24510271501","Census Tract 2715.01, Baltimore city, Maryland",1845,103,682,106,94299,12215
"24510250203","Census Tract 2502.03, Baltimore city, Maryland",767,59,287,69,32042,5159
"24510110200","Census Tract 1102, Baltimore city, Maryland",3521,280,2595,248,36092,4127
"24510020300","Census Tract 203, Baltimore city, Maryland",2015,156,1106,231,69339,10999
"24510150400","Census Tract 1504, Baltimore city, Maryland",1062,122,348,88,38152,9100
"24005450900","Census Tract 4509, Baltimore County, Maryland",1631,59,389,81,73291,5105
"24005451100","Census Tract 4511, Baltimore County, Maryland",709,48,172,68,74515,11450
"24005451500","Census Tract 4515, Baltimore County, Maryland",1323,76,312,92,56821,6491
"24005451702","Census Tract 4517.02, Baltimore County, Maryland",741,34,121,41,86518,21333
"24005452000","Census Tract 4520, Baltimore County, Maryland",973,69,253,72,53113,3899
"24005491900","Census Tract 4919, Baltimore County, Maryland",806,52,277,67,61875,7355
"24005491402","Census Tract 4914.02, Baltimore County, Maryland",1162,70,315,97,51159,10934
"24005400900","Census Tract 4009, Baltimore County, Maryland",783,45,215,72,50774,16917
"24005440500","Census Tract 4405, Baltimore County, Maryland",1197,75,443,104,60174,5349
"24005401000","Census Tract 4010, Baltimore County, Maryland",818,45,207,54,81250,18996
"24005401400","Census Tract 4014, Baltimore County, Maryland",574,37,123,36,105441,12906
"24005403300","Census Tract 4033, Baltimore County, Maryland",1005,59,308,59,68542,8446
"24005402305","Census Tract 4023.05, Baltimore County, Maryland",807,57,300,70,49602,8734
"24005402603","Census Tract 4026.03, Baltimore County, Maryland",2124,167,624,164,105104,11156
"24005403202","Census Tract 4032.02, Baltimore County, Maryland",784,49,237,59,64750,6658
"24005403803","Census Tract 4038.03, Baltimore County, Maryland",1542,71,371,90,104565,11156
"24005404202","Census Tract 4042.02, Baltimore County, Maryland",2730,139,773,186,54196,4490
"24005403100","Census Tract 4031, Baltimore County, Maryland",907,43,276,66,62734,7154
"24005404501","Census Tract 4045.01, Baltimore County, Maryland",2396,143,343,137,66080,8358
"24510160500","Census Tract 1605, Baltimore city, Maryland",1546,135,569,123,34542,6064
"24510140200","Census Tract 1402, Baltimore city, Maryland",917,109,236,94,17306,8602
"24510150200","Census Tract 1502, Baltimore city, Maryland",827,97,291,90,37529,19923
